stock_id,make,model,year,month,fob_price,total_price,mileage,engine,transmission,image_url
GD9251,land-cruiser-prado,GD9251,2018,12,"USD 29,900","USD 32,342","Mileage
51,000km","Engine

2,690cc
(2TR)","Trans
AT",https://img.sbtjapan.com/img/carphoto/GD9251/normal/f.jpg?v=1740234249&imwidth=180
ZQ5441,land-cruiser-prado,ZQ5441,2018,1,"USD 28,770","USD 31,312","Mileage
46,000km","Engine

2,690cc
(2TR)","Trans
AT",https://img.sbtjapan.com/img/carphoto/ZQ5441/normal/f.jpg?v=1743042162&imwidth=180
EW3530,land-cruiser-prado,EW3530,2018,5,"USD 28,450","USD 30,892","Mileage
43,000km","Engine

2,750cc
(1GD)","Trans
AT",https://img.sbtjapan.com/img/carphoto/EW3530/normal/f.jpg?v=1740147658&imwidth=180
QA8306,land-cruiser-prado,QA8306,2018,9,"USD 28,440","USD 30,782","Mileage
122,000km","Engine

2,750cc
(IGD)","Trans
AT",https://img.sbtjapan.com/img/carphoto/QA8306/normal/f.jpg?v=1740147659&imwidth=180
KA2282,land-cruiser-prado,KA2282,2018,3,"USD 28,220","USD 30,662","Mileage
61,000km","Engine

2,690cc
(2TR)","Trans
AT",https://img.sbtjapan.com/img/carphoto/KA2282/normal/f.jpg?v=1741677647&imwidth=180
DX8878,land-cruiser-prado,DX8878,2018,10,"USD 28,220","USD 30,762","Mileage
81,000km","Engine

2,750cc
(1GD)","Trans
AT",https://img.sbtjapan.com/img/carphoto/DX8878/normal/f.jpg?v=1743095498&imwidth=180
CI7838,land-cruiser-prado,CI7838,2018,11,"USD 26,970","USD 29,312","Mileage
128,000km","Engine

2,750cc
(1GD)","Trans
AT",https://img.sbtjapan.com/img/carphoto/CI7838/normal/f.jpg?v=1740147851&imwidth=180
QV9040,land-cruiser-prado,QV9040,2018,11,"USD 26,890","USD 29,332","Mileage
75,000km","Engine

2,690cc
(2TR)","Trans
AT",https://img.sbtjapan.com/img/carphoto/QV9040/normal/f.jpg?v=1740147888&imwidth=180
EX2133,land-cruiser-prado,EX2133,2018,5,"USD 26,030","USD 28,404","Mileage
16,000km","Engine

2,690cc
(2TR)","Trans
AT",https://img.sbtjapan.com/img/carphoto/EX2133/normal/f.jpg?v=1741829128&imwidth=180
XP4145,alphard,XP4145,2018,12,"USD 24,720","USD 27,094","Mileage
70,000km","Engine

3,450cc
(2GR)","Trans
AT",https://img.sbtjapan.com/img/carphoto/XP4145/normal/f.jpg?v=1741315661&imwidth=180
SL8173,rx,SL8173,2018,2,"USD 22,240","USD 24,435","Mileage
70,000km","Engine

3,450cc
(2GR-6JM)","Trans
AT",https://img.sbtjapan.com/img/carphoto/SL8173/normal/f.jpg?v=1742782690&imwidth=180
LC4152,c-class,LC4152,2018,2,"USD 21,640","USD 23,457","Mileage
12,000km","Engine

2,990cc
(276M30)","Trans
AT",https://img.sbtjapan.com/img/carphoto/LC4152/normal/f.jpg?v=1742813019&imwidth=180
MR7246,harrier,MR7246,2018,10,"USD 19,730","USD 21,761","Mileage
47,000km","Engine

1,980cc
(3ZR)","Trans
AT",https://img.sbtjapan.com/img/carphoto/MR7246/normal/f.jpg?v=1743129681&imwidth=180
XV1352,harrier,XV1352,2018,3,"USD 19,530","USD 21,560","Mileage
57,000km","Engine

1,980cc
(3ZR)","Trans
AT",https://img.sbtjapan.com/img/carphoto/XV1352/normal/f.jpg?v=1741839208&imwidth=180
SP8739,harrier,SP8739,2018,2,"USD 19,530","USD 21,560","Mileage
78,000km","Engine

1,980cc
(3ZR)","Trans
AT",https://img.sbtjapan.com/img/carphoto/SP8739/normal/f.jpg?v=1742281534&imwidth=180
TF2221,harrier,TF2221,2018,8,"USD 19,180","USD 21,206","Mileage
84,000km","Engine

1,980cc
(3ZR)","Trans
AT",https://img.sbtjapan.com/img/carphoto/TF2221/normal/f.jpg?v=1742564522&imwidth=180
SH7100,harrier,SH7100,2018,7,"USD 19,180","USD 21,206","Mileage
57,000km","Engine

1,980cc
(3ZR)","Trans
AT",https://img.sbtjapan.com/img/carphoto/SH7100/normal/f.jpg?v=1741925808&imwidth=180
JE6232,harrier,JE6232,2018,10,"USD 19,180","USD 21,206","Mileage
109,000km","Engine

1,980cc
(3ZR)","Trans
AT",https://img.sbtjapan.com/img/carphoto/JE6232/normal/f.jpg?v=1743063529&imwidth=180
NP8570,harrier,NP8570,2018,3,"USD 19,050","USD 21,075","Mileage
72,000km","Engine

1,980cc
(3ZR)","Trans
AT",https://img.sbtjapan.com/img/carphoto/NP8570/normal/f.jpg?v=1742785473&imwidth=180
MI9100,harrier,MI9100,2018,11,"USD 18,840","USD 20,863","Mileage
78,000km","Engine

1,980cc
(3ZR)","Trans
AT",https://img.sbtjapan.com/img/carphoto/MI9100/normal/f.jpg?v=1742366113&imwidth=180
JM2777,harrier,JM2777,2018,11,"USD 18,840","USD 20,863","Mileage
65,000km","Engine

1,980cc
(3ZR)","Trans
AT",https://img.sbtjapan.com/img/carphoto/JM2777/normal/f.jpg?v=1742797962&imwidth=180
FP4158,crv,FP4158,2018,8,"USD 18,660","USD 20,679","Mileage
99,000km","Engine

1,490cc
(L15B)","Trans
AT",https://img.sbtjapan.com/img/carphoto/FP4158/normal/f.jpg?v=1743035241&imwidth=180
ON2057,harrier,ON2057,2018,5,"USD 18,160","USD 20,177","Mileage
124,000km","Engine

1,990cc
(8AR)","Trans
AT",https://img.sbtjapan.com/img/carphoto/ON2057/normal/f.jpg?v=1742361018&imwidth=180
FD0549,harrier,FD0549,2018,10,"USD 18,160","USD 20,177","Mileage
52,000km","Engine

1,980cc
(3ZR)","Trans
AT",https://img.sbtjapan.com/img/carphoto/FD0549/normal/f.jpg?v=1741839320&imwidth=180
YH8337,rav4,YH8337,2019,11,"USD 17,880","USD 20,000","Mileage
65,000km","Engine

1,980cc
(M20A)","Trans
AT",https://img.sbtjapan.com/img/carphoto/YH8337/normal/f.jpg?v=1743392092&imwidth=180
